sample	chr	index	start	stop	pre_geno	cur_geno
4398_A_4549_A	Chr1	1	494622	899238	pa	mo
4398_A_4549_A	Chr1	2	10660019	12073661	mo	pa
4398_A_4549_A	Chr2	3	6121202	7088149	pa	mo
4398_A_4549_A	Chr3	4	16958785	17320193	mo	pa
4398_A_4549_A	Chr5	5	26658967	26673425	pa	mo
4398_J_4549_J	Chr1	1	6857888	7658169	mo	pa
4398_J_4549_J	Chr1	2	22293336	22653458	pa	mo
4398_J_4549_J	Chr2	3	9955937	11663165	pa	mo
4398_J_4549_J	Chr2	4	15572175	15838184	mo	pa
4398_J_4549_J	Chr3	5	15432385	16311515	pa	mo
4398_J_4549_J	Chr4	6	581830	1321320	pa	mo
4398_J_4549_J	Chr4	7	4315345	4705053	mo	pa
4398_K_4549_K	Chr1	1	22864750	23567952	pa	mo
4398_K_4549_K	Chr2	2	17519974	18666158	pa	mo
4398_K_4549_K	Chr3	3	21659315	22829798	pa	mo
4398_K_4549_K	Chr4	4	7119704	7610899	pa	mo
4398_K_4549_K	Chr5	5	9418428	9556790	mo	pa
4398_K_4549_K	Chr5	6	18880888	19510429	pa	mo
4398_L_4549_L	Chr3	1	23162954	23366896	mo	pa
4398_L_4549_L	Chr4	2	16402540	17829234	pa	mo
4398_M_4549_M	Chr1	1	980318	1240127	mo	pa
4398_M_4549_M	Chr1	2	16993732	17529962	pa	mo
4398_M_4549_M	Chr2	3	7128467	7739019	mo	pa
4398_M_4549_M	Chr3	4	20392847	21315855	pa	mo
4398_M_4549_M	Chr5	5	9703324	10141754	mo	pa
4398_M_4549_M	Chr5	6	19756610	20838647	pa	mo
4398_N_4549_N	Chr1	1	22864750	23001675	mo	pa
4398_N_4549_N	Chr1	2	25773361	26013735	pa	mo
4398_N_4549_N	Chr2	3	9955937	10572410	pa	mo
4398_N_4549_N	Chr4	4	9817367	10013309	pa	mo
4398_N_4549_N	Chr5	5	14522171	15142509	mo	pa
4398_N_4549_N	Chr5	6	21550340	22310551	pa	mo
4398_O_4549_O	Chr1	1	28855650	29643091	mo	pa
4398_O_4549_O	Chr2	2	4513503	5111596	mo	pa
4398_O_4549_O	Chr3	3	17172873	18083822	mo	pa
4398_O_4549_O	Chr4	4	8310920	8972179	mo	pa
4398_O_4549_O	Chr5	5	2081502	2699569	pa	mo
4398_P_4549_P	Chr1	1	9239621	9807053	pa	mo
4398_P_4549_P	Chr1	2	28986766	29108602	mo	pa
4398_P_4549_P	Chr2	3	17891016	18730243	mo	pa
4398_P_4549_P	Chr3	4	15650188	17172873	mo	pa
4398_P_4549_P	Chr4	5	581830	782404	pa	mo
4398_P_4549_P	Chr5	6	17320841	18030700	mo	pa
4398_Q_4549_Q	Chr2	1	820992	1334861	pa	mo
4398_Q_4549_Q	Chr2	2	17055552	17186694	mo	pa
4398_Q_4549_Q	Chr3	3	2216125	2649641	mo	pa
4398_Q_4549_Q	Chr3	4	2758634	2769019	pa	mo
4398_Q_4549_Q	Chr3	5	18479876	19121013	mo	pa
4398_Q_4549_Q	Chr4	6	15049682	15768317	mo	pa
4398_Q_4549_Q	Chr5	7	327803	442817	mo	pa
4398_Q_4549_Q	Chr5	8	8657491	9304724	pa	mo
4398_R_4549_R	Chr1	1	2264947	2670765	mo	pa
4398_R_4549_R	Chr2	2	8904802	9657608	pa	mo
4398_R_4549_R	Chr3	3	826147	1184920	mo	pa
4398_R_4549_R	Chr3	4	7621094	8928879	pa	mo
4398_R_4549_R	Chr4	5	10200423	10536514	mo	pa
4398_S_4549_S	Chr1	1	9128457	9499354	pa	mo
4398_S_4549_S	Chr1	2	29025022	29348742	mo	pa
4398_S_4549_S	Chr3	3	22074489	22747226	mo	pa
4398_S_4549_S	Chr4	4	6386348	6585376	pa	mo
4398_S_4549_S	Chr5	5	16960668	17122958	mo	pa
4398_B_4549_B	Chr1	1	16244056	17192465	pa	mo
4398_B_4549_B	Chr3	2	10506490	11443178	pa	mo
4398_B_4549_B	Chr3	3	22747226	23081418	mo	pa
4398_B_4549_B	Chr4	4	4541055	5420645	pa	mo
4398_B_4549_B	Chr4	5	14679853	15768317	mo	pa
4398_B_4549_B	Chr5	6	26636939	26673425	pa	mo
4398_T_4549_T	Chr1	1	3129507	3718370	pa	mo
4398_T_4549_T	Chr1	2	22239708	22653458	mo	pa
4398_T_4549_T	Chr2	3	10572410	11448282	mo	pa
4398_T_4549_T	Chr2	4	17389058	18700221	pa	mo
4398_T_4549_T	Chr5	5	15015464	15848295	mo	pa
4398_U_4549_U	Chr1	1	24765485	25511889	mo	pa
4398_U_4549_U	Chr2	2	18406134	19167358	pa	mo
4398_U_4549_U	Chr3	3	1893121	2649641	pa	mo
4398_U_4549_U	Chr3	4	20392847	21022666	mo	pa
4398_U_4549_U	Chr3	5	21512117	22829798	pa	mo
4398_U_4549_U	Chr5	6	8782762	9236047	mo	pa
4398_U_4549_U	Chr5	7	22500129	23533057	pa	mo
4398_V_4549_V	Chr1	1	1382942	1936156	pa	mo
4398_V_4549_V	Chr3	2	9187356	9603444	mo	pa
4398_V_4549_V	Chr4	3	17835612	18299326	pa	mo
4398_V_4549_V	Chr5	4	18030700	18880888	mo	pa
4398_W_4549_W	Chr1	1	902093	1240127	mo	pa
4398_W_4549_W	Chr1	2	8426659	8505030	pa	mo
4398_W_4549_W	Chr1	3	9128457	9807053	mo	pa
4398_W_4549_W	Chr2	4	7220525	8330891	mo	pa
4398_W_4549_W	Chr3	5	22074489	23162954	pa	mo
4398_X_4549_X	Chr1	1	22690881	22930095	mo	pa
4398_X_4549_X	Chr2	2	9268786	9657608	pa	mo
4398_X_4549_X	Chr2	3	18406134	18730243	mo	pa
4398_X_4549_X	Chr3	4	15442895	16263422	mo	pa
4398_X_4549_X	Chr4	5	5136819	6019466	mo	pa
4398_X_4549_X	Chr5	6	2699569	3810673	pa	mo
4398_Y_4549_Y	Chr1	1	1382942	1936156	mo	pa
4398_Y_4549_Y	Chr1	2	12149467	12264901	pa	mo
4398_Y_4549_Y	Chr1	3	24765485	25219471	mo	pa
4398_Y_4549_Y	Chr2	4	2310331	3901892	mo	pa
4398_Y_4549_Y	Chr3	5	11608304	12381884	pa	mo
4398_Y_4549_Y	Chr5	6	12920067	13158233	mo	pa
4398_Z_4549_Z	Chr1	1	7658169	8426659	pa	mo
4398_Z_4549_Z	Chr2	2	9899896	10572410	pa	mo
4398_Z_4549_Z	Chr3	3	16311515	17320193	pa	mo
4398_Z_4549_Z	Chr4	4	2355164	3523735	pa	mo
4398_Z_4549_Z	Chr4	5	15892746	16751558	mo	pa
4398_Z_4549_Z	Chr5	6	367560	1912861	pa	mo
4398_Z_4549_Z	Chr5	7	13175014	13783439	pa	mo
4398_AA_4549_AA	Chr1	1	3761773	4069081	mo	pa
4398_AA_4549_AA	Chr1	2	12264901	13007682	pa	mo
4398_AA_4549_AA	Chr1	3	25511889	25773361	mo	pa
4398_AA_4549_AA	Chr2	4	349205	1290853	mo	pa
4398_AA_4549_AA	Chr2	5	15554155	15838184	pa	mo
4398_AA_4549_AA	Chr3	6	11263837	11325752	pa	mo
4398_AA_4549_AA	Chr4	7	7295129	7601231	pa	mo
