sample	chr	index	start	stop	pre_geno	cur_geno
4398_A_4549_A	Chr1	1	3822844	4395326	pa	mo
4398_A_4549_A	Chr1	2	24879021	25054375	mo	pa
4398_A_4549_A	Chr3	3	16319342	17283792	pa	mo
4398_A_4549_A	Chr4	4	573698	688273	mo	pa
4398_A_4549_A	Chr4	5	12163540	12727138	pa	mo
4398_A_4549_A	Chr5	6	9634346	10209214	mo	pa
4398_A_4549_A	Chr5	7	23170730	23376725	pa	mo
4398_J_4549_J	Chr1	1	28259383	29862397	mo	pa
4398_J_4549_J	Chr2	2	15517843	16076499	pa	mo
4398_J_4549_J	Chr3	3	22408797	22931093	pa	mo
4398_J_4549_J	Chr4	4	8538953	9002767	pa	mo
4398_J_4549_J	Chr4	5	9923722	10441023	mo	pa
4398_J_4549_J	Chr5	6	1381041	1969872	mo	pa
4398_J_4549_J	Chr5	7	20892078	22769226	pa	mo
4398_K_4549_K	Chr2	1	9174342	9855783	pa	mo
4398_K_4549_K	Chr3	2	18532627	19106123	pa	mo
4398_K_4549_K	Chr4	3	7297972	7769060	mo	pa
4398_K_4549_K	Chr5	4	7272753	9337226	mo	pa
4398_L_4549_L	Chr1	1	62513	231383	pa	mo
4398_L_4549_L	Chr1	2	22560486	23368828	mo	pa
4398_L_4549_L	Chr2	3	7755558	8855573	mo	pa
4398_L_4549_L	Chr3	4	7191719	7536798	pa	mo
4398_L_4549_L	Chr3	5	17666400	18672194	mo	pa
4398_L_4549_L	Chr5	6	15415369	15846839	mo	pa
4398_M_4549_M	Chr1	1	9105249	9107148	mo	pa
4398_M_4549_M	Chr1	2	28800366	29872758	pa	mo
4398_M_4549_M	Chr2	3	6910351	7363501	mo	pa
4398_M_4549_M	Chr4	4	835924	1087286	pa	mo
4398_N_4549_N	Chr2	1	2506846	3153568	mo	pa
4398_N_4549_N	Chr4	2	2572741	3003315	mo	pa
4398_N_4549_N	Chr5	3	13096525	13585364	mo	pa
4398_O_4549_O	Chr1	1	11626449	11858316	mo	pa
4398_O_4549_O	Chr1	2	23888748	24619402	pa	mo
4398_O_4549_O	Chr2	3	10969938	11106282	mo	pa
